Away Team,Euro Group,Euro Match Name,Ground,Home Team,Kick-Off,Knockout rounds
Switzerland,Group A,11-Jun,Lens,Albania,06/11/2016T15:00:00.000GMT,
Switzerland,Group A,15-Jun,Paris (Saint-Denis),Romania,06/15/2016T18:00:00.000GMT,
England,Group B,20-Jun,Saint-Étienne,Slovakia,06/20/2016T21:00:00.000GMT,
England,Group B,11-Jun,Marseille,Russia,06/11/2016T21:00:00.000GMT,
Portugal,Group F,22-Jun,Lyon,Hungary,06/22/2016T18:00:00.000GMT,
France,Group A,19-Jun,Lille,Switzerland,06/19/2016T21:00:00.000GMT,
Ukraine,Group C,12-Jun,Lille,Germany,06/12/2016T21:00:00.000GMT,
Austria,Group F,18-Jun,Paris (Saint-Denis),Portugal,06/18/2016T21:00:00.000GMT,
Austria,Group F,22-Jun,Paris (Saint-Denis),Iceland,06/22/2016T18:00:00.000GMT,
Wales,Group B,16-Jun,Lens,England,06/16/2016T15:00:00.000GMT,
Wales,Group B,20-Jun,Toulouse,Russia,06/20/2016T21:00:00.000GMT,
Romania,Group A,10-Jun,Paris (Saint-Denis),France,06/10/2016T21:00:00.000GMT,
Slovakia,Group B,11-Jun,Bordeaux,Wales,06/11/2016T18:00:00.000GMT,
Slovakia,Group B,15-Jun,Lille,Russia,06/15/2016T15:00:00.000GMT,
Germany,Group C,21-Jun,Paris (Saint-Denis),Northern Ireland,06/21/2016T18:00:00.000GMT,
Albania,Group A,15-Jun,Marseille,France,06/15/2016T21:00:00.000GMT,
Albania,Group A,19-Jun,Lyon,Romania,06/19/2016T21:00:00.000GMT,
Poland,Group C,16-Jun,Paris (Saint-Denis),Germany,06/16/2016T21:00:00.000GMT,
Poland,Group C,21-Jun,Marseille,Ukraine,06/21/2016T18:00:00.000GMT,
Northern Ireland,Group C,12-Jun,Nice,Poland,06/12/2016T18:00:00.000GMT,
Northern Ireland,Group C,16-Jun,Lyon,Ukraine,06/16/2016T18:00:00.000GMT,
Italy,Group E,13-Jun,Lyon,Belgium,06/13/2016T21:00:00.000GMT,
Spain,Group D,21-Jun,Bordeaux,Croatia,06/21/2016T21:00:00.000GMT,
Repulic of Ireland,Group E,22-Jun,Lille,Italy,06/22/2016T21:00:00.000GMT,
Repulic of Ireland,Group E,18-Jun,Bordeaux,Belgium,06/18/2016T15:00:00.000GMT,
Czech Republic,Group D,13-Jun,Toulouse,Spain,06/13/2016T15:00:00.000GMT,
Iceland,Group F,14-Jun,Saint-Étienne,Portugal,06/14/2016T21:00:00.000GMT,
Turkey,Group D,17-Jun,Nice,Spain,06/17/2016T21:00:00.000GMT,
Turkey,Group D,21-Jun,Lens,Czech Republic,06/21/2016T21:00:00.000GMT,
Hungary,Group F,18-Jun,Marseille,Iceland,06/18/2016T18:00:00.000GMT,
Hungary,Group F,14-Jun,Bordeaux,Austria,06/14/2016T18:00:00.000GMT,
Croatia,Group D,12-Jun,Paris (Saint-Denis),Turkey,06/12/2016T15:00:00.000GMT,
Croatia,Group D,17-Jun,Saint-Étienne,Czech Republic,06/17/2016T18:00:00.000GMT,
Belgium,Group E,22-Jun,Nice,Sweden,06/22/2016T21:00:00.000GMT,
Sweden,Group E,17-Jun,Toulouse,Italy,06/17/2016T15:00:00.000GMT,
Sweden,Group E,13-Jun,Paris (Saint-Denis),Repulic of Ireland,06/13/2016T18:00:00.000GMT,
2nd group C,,Match 1,Saint-Étienne,2nd group A,06/25/2016T15:00:00.000GMT,Round of 16
3rd group A C D,,Match 2,Paris (Saint-Denis),1st group B,06/25/2016T18:00:00.000GMT,Round of 16
3rd group C D E,,Match 4,Lyon,1st group A,06/26/2016T18:00:00.000GMT,Round of 16
3rd group B E F,,Match 3,Lens,1st group D,06/25/2016T21:00:00.000GMT,Round of 16
3rd group A B F,,Match 5,Lille,1st group C,06/26/2016T18:00:00.000GMT,Round of 16
2nd group E,,Match 6,Toulouse,1st group F,06/26/2016T21:00:00.000GMT,Round of 16
2nd group D,,Match 7,Paris (Saint-Denis),1st group E,06/27/2016T18:00:00.000GMT,Round of 16
Winner Match 6,,Quarter-final 2,Lille,Winner Match 2,07/01/2016T21:00:00.000GMT,Quarter-finals
2nd group F,,Match 8,Nice,2nd group B,06/27/2016T21:00:00.000GMT,Round of 16
Winner Match 7,,Quarter-final 3,Bordeaux,Winner Match 5,07/02/2016T21:00:00.000GMT,Quarter-finals
Winner Match 3,,Quarter-final 1,Marseille,Winner Match 1,06/30/2016T21:00:00.000GMT,Quarter-finals
Winner Match 8,,Quarter-final 4,Paris (Saint-Denis),Winner Match 4,07/03/2016T21:00:00.000GMT,Quarter-finals
Winner Quarter Final 2,,Semi-final 1,Lyon,Winner Quarter Final 1,07/06/2016T21:00:00.000GMT,Semi-finals
Winner Quarter Final 4,,Semi-final 2,Marseille,Winner Quarter Final 3,07/07/2016T21:00:00.000GMT,Semi-finals
Winner Semi Final 2,,Final,Paris (Saint-Denis),Winner Semi Final 1,07/10/2016T19:00:00.000GMT,Final
